gpssec acc_x(m/s^2) acc_y(m/s^2) acc_z(m/s^2) gyro_x(rad/s) gyro_y(rad/s)  gyro_z(rad/s)
72476.796196 -0.439636 0.173462 -10.054810 -0.004027 -0.002349 -0.005033
72476.805929 -0.451599 0.188416 -10.078735 -0.003356 0.000671 -0.001007
72476.816183 -0.475525 0.149536 -10.057800 -0.002013 -0.001678 0.000671
72476.825941 -0.511414 0.140564 -10.012939 -0.001678 -0.001678 -0.001678
72476.836195 -0.508423 0.194397 -10.024902 -0.004362 0.001678 -0.004698
72476.845926 -0.481506 0.209351 -10.081726 -0.005033 0.002349 -0.001678
72476.856208 -0.469543 0.164490 -10.075745 -0.002349 0.003356 -0.001007
72476.867265 -0.475525 0.137573 -10.012939 -0.002013 0.003020 -0.000336
72476.879766 -0.502441 0.155518 -10.024902 -0.003020 -0.001342 -0.003020
72476.886192 -0.520386 0.170471 -10.075745 -0.004027 -0.001007 -0.000336
72476.896180 -0.493469 0.176453 -10.045837 -0.003020 0.000671 0.000671
72476.905937 -0.469543 0.179443 -9.983032 -0.003020 0.000671 -0.002684
72476.916190 -0.478516 0.146545 -10.015930 -0.002684 -0.000336 -0.002013
72476.925922 -0.511414 0.137573 -10.099670 0.001007 -0.000671 -0.001678
72476.936175 -0.505432 0.170471 -10.066772 -0.003020 0.000224 -0.005704
72476.945934 -0.493469 0.137573 -9.959106 -0.006711 0.001119 -0.004027
72476.956186 -0.499451 0.122620 -10.018921 -0.004698 0.002013 -0.000671
72476.967274 -0.478516 0.185425 -10.123596 -0.002684 0.002684 0.000671
72476.979744 -0.469543 0.200378 -10.057800 -0.004027 0.000671 -0.000671
72476.986172 -0.478516 0.119629 -9.989014 -0.004362 0.000168 -0.002684
72476.996184 -0.502441 0.116638 -10.039856 -0.002349 -0.000336 -0.003691
72477.005916 -0.508423 0.197388 -10.090698 -0.003020 0.004362 -0.001007
72477.016172 -0.478516 0.218323 -10.048828 -0.004027 0.001342 -0.002181
72477.025903 -0.457581 0.152527 -9.992004 -0.004027 -0.002013 -0.003356
72477.036156 -0.481506 0.140564 -10.045837 -0.000336 -0.002349 -0.004362
72477.045915 -0.514404 0.161499 -10.114624 -0.002013 0.000000 -0.002684
72477.056172 -0.490479 0.152527 -10.063782 -0.004027 0.002349 -0.001007
72477.067253 -0.445618 0.146545 -9.994995 -0.001678 -0.000336 -0.000336
72477.079751 -0.430664 0.176453 -10.045837 -0.003020 0.002349 -0.003356
72477.086180 -0.460571 0.152527 -10.102661 -0.006040 0.002349 -0.003691
72477.096166 -0.487488 0.125610 -10.063782 -0.003020 -0.000671 -0.001342
72477.105897 -0.508423 0.146545 -10.000977 -0.000671 0.001678 -0.001007
72477.116150 -0.511414 0.119629 -10.015930 0.000336 0.001007 0.000336
72477.125883 -0.502441 0.104675 -10.072754 -0.001342 -0.001342 -0.000839
72477.136164 -0.469543 0.167480 -10.054810 -0.006376 0.000671 -0.002013
72477.145895 -0.442627 0.182434 -10.003967 -0.005704 0.000839 -0.003356
72477.156148 -0.463562 0.113647 -10.051819 -0.004362 0.001007 -0.003020
72477.167235 -0.502441 0.110657 -10.084717 -0.002349 0.001342 -0.000336
72477.179731 -0.493469 0.170471 -10.030884 -0.004027 0.004362 -0.001342
72477.186159 -0.457581 0.188416 -10.009949 -0.003356 0.001510 -0.003020
72477.196145 -0.445618 0.155518 -10.060791 -0.003691 -0.001342 -0.002013
72477.205878 -0.466553 0.134583 -10.084717 -0.000671 -0.002349 -0.001342
72477.216132 -0.508423 0.131592 -10.039856 -0.003020 -0.001342 -0.000671
72477.225890 -0.502441 0.125610 -10.027893 -0.006040 0.000671 -0.003691
72477.236142 -0.460571 0.149536 -10.069763 -0.003691 0.001678 -0.002013
72477.245876 -0.457581 0.164490 -10.066772 -0.001342 0.002684 -0.001510
72477.256154 -0.472534 0.137573 -10.024902 -0.002349 0.004027 -0.001007
72477.267240 -0.493469 0.122620 -10.036865 -0.005033 -0.001007 -0.002349
72477.279712 -0.511414 0.164490 -10.072754 -0.004362 -0.000336 -0.003020
72477.286140 -0.496460 0.152527 -10.039856 -0.004698 0.004362 -0.003691
72477.296126 -0.478516 0.119629 -10.009949 -0.004027 -0.000671 -0.003020
72477.305884 -0.463562 0.170471 -10.060791 -0.004698 -0.002349 -0.000839
72477.316137 -0.454590 0.203369 -10.087708 -0.004362 -0.000336 0.001342
72477.325870 -0.475525 0.161499 -10.045837 -0.003020 0.000336 -0.000336
72477.336123 -0.517395 0.146545 -10.015930 -0.003691 0.001174 -0.004027
72477.345880 -0.526367 0.194397 -10.036865 -0.004698 0.002013 -0.005033
72477.356136 -0.493469 0.227295 -10.063782 -0.002684 -0.001342 -0.000336
72477.367220 -0.460571 0.182434 -10.033875 -0.003691 -0.000336 -0.004027
