
	EPOCHWISE SOLUTIONS FOR THE TRADITIONAL INTEGRATION STRATEGY.
	Initial Estimate of Receiver Position : 
	X (m):        841693.698     
	Y (m):        -4530895.777   
	Z (m):        4394926.382    
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
	|| Loose GNSS-IMU Integration ||
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
EPOCH       X(m)           Y(m)           Z(m)           Vx(m/s)        Vy(m/s)        Vz(m/s)        Tx(deg)        Ty(deg)        Tz(deg)        
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
72600.011   841693.698     -4530895.777   4394926.382    0.002          -0.007         0.001          0.001          -0.001         8.788          
72600.024   841693.698     -4530895.777   4394926.382    0.001          -0.007         0.001          -0.001         -0.003         8.787          
72600.030   841693.698     -4530895.777   4394926.382    0.002          -0.007         0.001          -0.001         -0.003         8.787          
72600.040   841693.698     -4530895.777   4394926.382    0.002          -0.007         0.000          -0.000         -0.002         8.787          
72600.050   841693.698     -4530895.777   4394926.382    0.002          -0.007         0.000          -0.000         -0.001         8.787          
72600.060   841693.698     -4530895.777   4394926.382    0.001          -0.007         -0.000         -0.000         -0.001         8.788          
72600.070   841693.698     -4530895.777   4394926.382    0.001          -0.007         0.000          -0.000         -0.003         8.788          
72600.080   841693.698     -4530895.777   4394926.382    0.001          -0.007         0.001          -0.001         -0.003         8.788          
72600.090   841693.698     -4530895.777   4394926.382    0.001          -0.007         0.000          -0.000         -0.003         8.788          
72600.100   841693.698     -4530895.777   4394926.382    0.000          -0.007         -0.000         -0.000         -0.004         8.788          
72600.111   841693.698     -4530895.777   4394926.382    -0.000         -0.008         0.000          0.000          -0.004         8.786          
72600.124   841693.698     -4530895.778   4394926.382    -0.000         -0.008         0.000          0.001          -0.004         8.786          
72600.130   841693.698     -4530895.778   4394926.382    -0.001         -0.008         0.000          0.001          -0.004         8.786          
72600.140   841693.698     -4530895.778   4394926.382    -0.002         -0.008         0.000          0.001          -0.004         8.785          
72600.150   841693.698     -4530895.778   4394926.382    -0.002         -0.008         0.001          0.002          -0.005         8.786          
72600.160   841693.698     -4530895.778   4394926.382    -0.002         -0.008         0.001          0.002          -0.005         8.785          
72600.170   841693.698     -4530895.778   4394926.382    -0.002         -0.009         0.001          0.002          -0.006         8.786          
72600.180   841693.698     -4530895.778   4394926.382    -0.002         -0.009         0.001          0.002          -0.007         8.787          
72600.190   841693.698     -4530895.778   4394926.382    -0.002         -0.010         0.001          0.003          -0.009         8.785          
72600.200   841693.698     -4530895.778   4394926.382    -0.003         -0.010         0.002          0.003          -0.009         8.784          
72600.211   841693.698     -4530895.778   4394926.382    -0.002         -0.010         0.002          0.004          -0.009         8.783          
72600.224   841693.698     -4530895.778   4394926.382    -0.001         -0.010         0.001          0.004          -0.009         8.783          
72600.230   841693.698     -4530895.779   4394926.382    -0.001         -0.010         0.001          0.005          -0.008         8.783          
72600.240   841693.698     -4530895.779   4394926.382    -0.001         -0.011         0.001          0.005          -0.008         8.784          
72600.250   841693.698     -4530895.779   4394926.382    -0.001         -0.010         0.002          0.006          -0.009         8.784          
72600.260   841693.698     -4530895.779   4394926.382    -0.001         -0.010         0.001          0.005          -0.009         8.783          
72600.270   841693.698     -4530895.779   4394926.382    0.000          -0.009         0.001          0.004          -0.007         8.783          
72600.280   841693.698     -4530895.779   4394926.382    0.001          -0.010         0.001          0.005          -0.008         8.783          
72600.290   841693.698     -4530895.779   4394926.382    0.001          -0.010         0.001          0.005          -0.008         8.784          
72600.300   841693.698     -4530895.779   4394926.382    0.002          -0.010         0.000          0.006          -0.006         8.784          
72600.311   841693.698     -4530895.779   4394926.382    0.002          -0.010         0.000          0.005          -0.006         8.784          
72600.324   841693.698     -4530895.779   4394926.382    0.002          -0.010         0.001          0.003          -0.005         8.784          
72600.330   841693.698     -4530895.780   4394926.382    0.003          -0.010         0.001          0.001          -0.005         8.783          
72600.340   841693.698     -4530895.780   4394926.382    0.003          -0.010         -0.000         0.002          -0.006         8.782          
72600.350   841693.698     -4530895.780   4394926.382    0.004          -0.010         -0.000         0.004          -0.008         8.783          
72600.360   841693.698     -4530895.780   4394926.382    0.005          -0.011         0.000          0.004          -0.008         8.784          
72600.370   841693.698     -4530895.780   4394926.382    0.004          -0.011         -0.000         0.002          -0.008         8.784          
72600.380   841693.698     -4530895.780   4394926.382    0.004          -0.011         -0.000         -0.000         -0.006         8.785          
72600.390   841693.698     -4530895.780   4394926.382    0.004          -0.011         0.000          -0.000         -0.006         8.785          
72600.400   841693.698     -4530895.780   4394926.382    0.005          -0.012         0.000          0.000          -0.006         8.784          
72600.411   841693.698     -4530895.780   4394926.382    0.005          -0.012         -0.001         0.000          -0.006         8.784          
72600.424   841693.698     -4530895.781   4394926.382    0.004          -0.012         -0.001         0.001          -0.006         8.784          
72600.430   841693.698     -4530895.781   4394926.382    0.004          -0.012         -0.000         0.001          -0.005         8.785          
72600.440   841693.698     -4530895.781   4394926.382    0.004          -0.013         0.001          -0.003         -0.006         8.786          
72600.450   841693.698     -4530895.781   4394926.382    0.004          -0.012         0.000          -0.002         -0.007         8.785          
72600.460   841693.698     -4530895.781   4394926.382    0.003          -0.012         -0.000         -0.002         -0.008         8.783          
72600.470   841693.698     -4530895.781   4394926.382    0.003          -0.013         0.000          -0.003         -0.008         8.784          
72600.480   841693.698     -4530895.781   4394926.382    0.003          -0.014         0.001          -0.002         -0.006         8.786          
72600.490   841693.698     -4530895.781   4394926.382    0.002          -0.014         0.000          -0.003         -0.006         8.786          
72600.500   841693.698     -4530895.782   4394926.382    0.002          -0.014         0.000          -0.005         -0.006         8.786          
72600.511   841693.698     -4530895.782   4394926.382    0.001          -0.014         0.001          -0.004         -0.005         8.786          
72600.524   841693.698     -4530895.782   4394926.382    0.001          -0.015         0.001          -0.004         -0.003         8.787          
